appid,release_year,Priece,user_score,meta_score
25808,2011,$4.99,,71%
25830,2005,$2.49,92%,77%
25850,2009,$0.99,73%,71%
25890,2009,$2.49,77%,77%
25900,2008,$1.74,90%,79%
25910,2008,$1.99,78%,65%
25930,2009,$9.99,53%,67%
25980,2009,$2.49,69%,72%
25990,2001,$2.49,94%,
26000,2009,$2.49,83%,75%
26300,2009,$4.99,,35%
26500,2009,$5.99,88%,73%
26800,2009,$2.99,94%,90%
26900,2009,$1.99,86%,79%
27000,2009,$9.99,75%,79%
27020,2009,$4.99,60%,
27050,2009,$6.99,55%,
27200,2009,$4.99,,
27330,2010,,40%,65%
27400,2009,$19.99,61%,81%
27800,2009,$9.99,70%,
27810,2010,$9.99,81%,
27900,2009,$1.49,36%,
27920,2010,$0.59,49%,
27940,2011,$1.79,33%,
28000,2010,$0.99,62%,66%
29130,2009,$4.99,92%,
29160,2009,$4.99,76%,68%
29180,2009,$9.99,87%,80%
29540,2009,$19.99,,89%
29570,2009,$14.99,,
29700,2010,$19.99,,79%
29800,2009,$1.99,79%,
29900,2009,$9.99,79%,66%
31100,2009,$4.49,86%,
31100,2009,$4.49,86%,
31170,2009,$5.24,88%,79%
31190,2009,$5.24,92%,
31200,2009,$5.24,81%,
31200,2009,$5.24,81%,
31210,2009,$5.24,89%,
31220,1992,$9.99,90%,
31230,1989,$9.99,84%,
31250,1989,$9.99,89%,
31260,1989,$9.99,92%,
31270,2010,$0.99,88%,70%
31280,2010,,89%,71%
31290,2010,,88%,74%
31300,2009,$19.99,,30%
31700,2008,,85%,59%
31800,2009,$4.89,79%,70%
31810,2009,$4.89,96%,77%
31820,2009,$4.89,92%,85%
31830,2009,$4.89,87%,81%
31840,2009,$4.89,94%,81%
31850,2009,$4.89,91%,
31860,2009,$4.89,90%,79%
31870,2009,$4.89,62%,
31870,2009,$4.89,62%,
31880,2009,$4.89,91%,80%
31890,2009,$4.89,88%,
31900,2009,$4.89,69%,68%
31910,2009,$4.89,81%,81%
31920,2009,$4.89,86%,69%
31930,2009,$4.89,73%,73%
31980,2009,,70%,78%
32000,2009,$4.99,,
32110,2009,$3.39,70%,
32120,2009,$3.39,53%,
32140,2009,$3.39,68%,
32150,2009,$4.99,98%,
32160,2009,$3.39,86%,
32200,2009,$2.49,63%,
32310,2009,$2.09,78%,
32330,2009,$4.99,87%,78%
32340,2009,$2.09,88%,
32350,2009,$2.09,51%,71%
32360,2009,$3.49,95%,86%
32370,2009,$3.49,91%,
32380,2009,$2.09,77%,91%
32390,2009,$1.04,65%,
32400,2009,$2.09,89%,
32410,2009,$2.09,69%,59%
32420,2009,$6.99,46%,46%
32430,2009,$6.99,72%,65%
32440,2009,$4.99,96%,77%
32450,2010,$4.99,84%,66%
32460,2010,$3.49,95%,87%
32470,2010,$6.99,97%,
32500,2010,$6.99,61%,59%
32510,2011,$4.99,94%,76%
32610,2009,$4.99,62%,
32620,2009,$1.24,89%,
32630,2009,$1.24,86%,
32640,2009,$2.49,92%,74%
32650,2009,$2.49,79%,51%
32660,2009,$4.99,80%,65%
32670,2009,$3.74,92%,77%
32680,2009,$2.49,91%,
32710,2009,$2.49,75%,
32720,1998,$2.49,79%,
32730,1999,$2.49,64%,
32740,1998,$2.49,86%,
32760,2000,$2.49,89%,
32770,2009,$19.99,89%,
32800,2011,,80%,66%
32900,2009,$5.99,74%,64%
33100,2009,$1.49,94%,
33110,2009,$1.49,67%,
33120,2009,$1.49,92%,
33130,2007,$1.49,83%,
33180,2009,$4.99,78%,
33210,2009,,90%,82%
33220,2010,$19.99,72%,83%
33230,2010,$5.99,88%,86%
33320,2010,$1.99,69%,75%
33390,2011,$2.49,,72%
33460,2011,$3.74,66%,76%
33520,2009,$1.74,88%,
33550,2009,$3.99,,
33570,2010,$2.49,81%,75%
33600,1997,$1.79,89%,
33610,2003,$1.79,56%,82%
33620,2009,$1.49,82%,
33650,2010,$4.99,88%,
33660,2010,$0.99,,
33660,2010,$0.99,,
33670,2010,$4.99,53%,56%
33680,2010,$4.99,91%,
33700,2008,$4.68,,
33710,2006,$4.68,,
33720,2009,$4.68,,
33730,2009,$6.69,70%,
33750,1985,,,
33760,2009,$4.68,,
33770,2011,$4.99,79%,
33790,2011,$4.99,,
33900,1895,$2.59,83%,77%
33930,2010,$3.99,92%,73%
33950,2007,$0.99,75%,
33980,2010,$1.99,59%,
33990,2010,$2.59,47%,63%
34010,2010,,80%,72%
34030,2010,$6.24,91%,81%
34180,2010,,,57%
34190,2010,$2.49,84%,65%
34270,2010,$24.79,85%,
34272,2010,$0.99,,
34273,2010,$0.99,,
34274,2010,$0.99,,
34275,2010,$0.99,,
34276,2010,$0.99,,
34277,2010,$0.99,,
34278,2010,$4.99,,
34279,2010,$0.99,,
34280,2010,$0.99,,
34280,2010,$0.99,,
34281,2010,$0.99,,
34282,2010,$0.99,,
34284,2010,$0.99,,
34285,2010,$0.99,,
34286,2010,$4.99,,
34287,2010,$0.99,,
34288,2010,$0.99,,
34289,2010,$0.99,,
34310,2010,$0.99,,
34311,2010,$0.99,,
34312,2010,$0.99,,
34313,2010,$4.99,,
34315,2010,$0.99,,
34316,2010,$0.99,,
34317,2010,$0.99,,
34318,2010,$0.99,,
34319,2010,$0.99,,
34390,,,,
34410,2009,$1.39,85%,73%
34420,2009,$0.74,54%,
34500,2009,$14.99,,66%
34600,2009,$1.19,72%,69%
34630,2009,$3.99,,77%
34640,2009,$3.99,,
34800,2009,$1.49,66%,62%
34800,2009,$1.49,66%,62%
34810,2009,$1.19,81%,
34820,2009,$1.49,78%,
34830,2010,$1.59,56%,55%
34870,2013,$1.99,74%,52%
34900,2009,$0.54,78%,
34920,2010,$1.99,25%,61%
35000,2009,$1.49,88%,74%
35010,2010,$3.99,95%,91%
35070,2009,$0.95,56%,
35130,2010,$1.49,91%,82%
35140,2010,$3.99,96%,91%
35300,2009,$3.24,81%,
35310,2009,$2.49,68%,51%
35320,2012,$3.74,83%,
35450,2011,$4.99,92%,76%
35460,2010,$2.49,73%,68%
35480,2011,$2.49,75%,
35600,2009,$4.99,51%,
35700,2009,$3.74,95%,80%
35720,2013,$4.99,95%,84%
35800,2008,,85%,
36000,2009,$3.99,61%,
36130,1989,,,
36180,2009,,73%,
36210,2009,,,
36270,2009,,,
36320,1989,,,
36900,2009,$4.99,,
36910,2009,$4.99,,
37000,2009,$2.49,81%,77%
37010,2009,,58%,61%
37030,2010,,76%,68%
37100,2009,,70%,
37210,2009,$9.99,67%,
37220,2009,$9.99,71%,
37230,2009,$9.99,,
37240,2009,$9.99,31%,
37260,2009,$9.99,94%,71%
37260,2009,$9.99,94%,71%
37270,2009,,,
37280,2009,$9.99,,
37290,2009,$9.99,,
37300,2009,$9.99,,
37310,2009,$6.99,,
37320,2008,$6.99,,
37330,2010,$6.99,,
37360,2007,$6.99,,
37370,2007,$6.99,,
37380,2009,$6.99,,
37390,2009,$6.99,,
37400,2009,$0.74,80%,84%
37500,2009,$1.99,,
37600,2009,$2.99,91%,
37700,2010,,74%,51%
37700,2010,,74%,51%
37800,2009,$9.99,,67%
37960,2009,$19.99,,
38000,2009,$9.99,,
38000,2009,$9.99,,
38080,2007,$9.99,,
38110,2009,$9.99,,
38120,2007,$4.99,94%,
38130,2008,$4.99,96%,
38140,2009,$4.99,,
38150,2009,$9.99,,
38160,2010,$9.99,,
38170,2010,$9.99,,
38180,2007,$9.99,,
38190,2009,$9.99,,
38210,2009,$0.59,80%,72%
38230,2010,$1.59,44%,58%
38400,2015,$2.99,93%,89%
38410,1998,$2.99,94%,86%
38420,2009,$2.99,79%,82%
38430,1999,$7.99,78%,
38440,2000,$7.99,91%,89%
38450,1997,$7.99,77%,
38460,2000,$7.99,80%,83%
38490,1996,$19.99,68%,
38600,2010,$7.49,90%,
38700,2010,$0.99,87%,80%
38720,2010,$0.49,89%,73%
38740,2011,$0.69,91%,74%
39000,2010,,90%,
39110,2010,$2.49,81%,
39120,2013,,74%,84%
39140,2013,$5.99,92%,
39150,2013,$5.99,88%,
39160,2011,$2.99,58%,72%
39190,2002,$0.97,80%,86%
39200,2005,$0.97,73%,80%
39210,2014,$19.99,88%,83%
39360,2009,$19.99,,
39500,2006,$2.49,82%,63%
39510,2005,$2.49,92%,79%
39520,2002,$2.49,73%,82%
39530,2007,$1.99,89%,
39540,2009,$2.49,86%,74%
39550,2009,$3.74,74%,80%
39560,2009,$1.99,28%,38%
39630,2001,$1.24,71%,67%
39640,2003,$1.24,74%,59%
39650,2006,$2.49,70%,61%
39660,2010,$2.49,71%,63%
39670,2003,$1.24,71%,66%
39680,2010,$2.49,82%,56%
39690,2010,$4.99,55%,63%
39800,2009,$0.74,88%,
39900,2010,$3.99,,
40100,2010,$3.24,87%,77%
40200,2009,$9.99,,
40210,2009,$9.99,,
40300,2009,$2.49,88%,77%
40320,2009,$2.49,87%,76%
40330,2009,$1.99,85%,
40340,2009,$1.99,83%,64%
40350,2010,$1.99,90%,77%
40370,2010,,,61%
40380,2010,$0.99,80%,69%
40390,2012,$2.49,79%,69%
40400,2009,$4.99,82%,80%
