,appid,name,developer,publisher,positive,negative,average_playtime_from_2009,initialprice,languages,genre,release_year,Korean,indie,discount,positive_ratio,price_group
2625,289070,Sid Meier?셲 Civilization VI,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",160423,32708,79.0,70848,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",Strategy,2016,1,0,1,0.8306434492650067,6만원 이상
2626,289090,Ampu-Tea,ProjectorGames,KISS ltd,1282,762,4.0,5893,"English, French, German, Spanish - Spain, Portuguese, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",Adventure,2014,0,1,0,0.62720156555773,만원이하
2627,289130,ENDLESS Legend,AMPLITUDE Studios,SEGA,13705,2543,33.0,35418,"English, French, German, Polish, Russian, Italian, Spanish - Spain",RPG,2014,0,0,0,0.8434884293451502,3만원~4만원
2628,289180,A.I.M.2 Clan Wars,SkyRiver Studios,1C Entertainment,327,87,0.0,3531,"English, Russian",Action,2007,0,0,0,0.7898550724637681,만원이하
2629,289200,Ascension to the Throne,DVS,1C Entertainment,380,50,14.0,3531,"English, Russian, German",RPG,2007,0,0,0,0.8837209302325582,만원이하
2630,289220,BorderZone,"Saturn-plus, Orion",1C Entertainment,33,55,3.0,3531,"English, Russian",Action,2006,0,0,0,0.375,만원이하
2631,289240,Perimeter: Emperor's Testament,K-D Lab,1C Entertainment,22,11,1.0,4712,"English, Russian",Strategy,2006,0,0,0,0.6666666666666666,만원이하
2632,289260,Dreamscapes: The Sandman - Premium Edition,Shaman Games Studio,"1C Entertainment, Playrix",176,37,4.0,8255,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Polish, Portuguese, Russian, Swedish",Adventure,2014,1,0,0,0.8262910798122066,만원이하
2633,289280,El Matador,Plastic Reality Technologies,1C Entertainment,240,106,0.0,4712,"English, Russian, Italian, German, Spanish - Spain, French, Czech",Action,2006,0,0,0,0.6936416184971098,만원이하
2634,289300,Faces of War,Best Way,1C Entertainment,730,92,6.0,5893,"English, Russian",Action,2006,0,0,0,0.8880778588807786,만원이하
2635,289320,"Fairy Tale About Father Frost, Ivan and Nastya",Bohemia Interactive,Bohemia Interactive,62,35,0.0,3531,"English, Russian, Czech",Adventure,2000,0,0,0,0.6391752577319587,만원이하
2636,289340,Freight Tycoon Inc.,Nikita,1C Entertainment,204,174,0.0,5893,"English, German, Russian, French, Traditional Chinese, Japanese, Czech",Strategy,2007,0,0,0,0.5396825396825397,만원이하
2637,289360,Konung 2,1C Entertainment,1C Entertainment,122,22,0.0,3531,"English, Russian, Bulgarian",RPG,2004,0,0,0,0.8472222222222222,만원이하
2638,289380,Konung 3: Ties of the Dynasty,1C Entertainment,1C Entertainment,59,26,0.0,3531,"English, Russian",RPG,2010,0,0,0,0.6941176470588235,만원이하
2639,289400,Parkan 2,Nikita,1C Entertainment,214,86,3.0,4712,"English, German, Russian, Polish",Action,2007,0,0,0,0.7133333333333334,만원이하
2640,289420,Planet Alcatraz,1C Entertainment,1C Entertainment,388,70,5.0,4712,"English, Russian",RPG,2009,0,0,0,0.8471615720524017,만원이하
2641,289440,Perimeter,K-D Lab,1C Entertainment,141,32,4.0,4712,"English, Russian",Strategy,2004,0,0,0,0.815028901734104,만원이하
2642,289460,RC Cars,Creat Studio,1C Entertainment,248,82,0.0,3531,"English, Russian, Polish",Casual,2003,0,0,0,0.7515151515151515,만원이하
2643,289480,The Tomorrow War,CrioLand,1C Entertainment,46,49,2.0,3531,"English, Russian",Action,2009,0,0,0,0.4842105263157895,만원이하
2644,289500,UFO: Aftershock,ALTAR Interactive,1C Entertainment,132,42,6.0,4712,"English, Russian, French, German, Spanish - Spain, Polish",Strategy,2005,0,0,0,0.7586206896551724,만원이하
2645,289520,King's Bounty: Dark Side,1C-SoftClub,1C Entertainment,1001,372,33.0,15341,"English, Russian, Polish, German",RPG,2014,0,0,0,0.729060451565914,만원~2만원
2646,289580,Aggression: Europe Under Fire,Lesta Studio,Buka Entertainment,52,43,0.0,11798,"English, Polish, Russian",Strategy,2007,0,0,0,0.5473684210526316,만원~2만원
2647,289600,Marauder,Apeiron,Buka Entertainment,410,164,1.0,11798,"English, Russian",RPG,2009,0,0,0,0.7142857142857143,만원~2만원
2648,289620,Collapse,Creoteam,Buka Entertainment,492,189,8.0,23608,"English, Russian",Action,2008,0,0,0,0.7224669603524229,2만원~ 3만원
2649,289650,Assassin's Creed Unity,Ubisoft,Ubisoft,30221,10813,23.0,35418,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Dutch",Action,2014,1,0,0,0.7364868158112785,3만원~4만원
2650,289690,LARA CROFT AND THE TEMPLE OF OSIRIS,Crystal Dynamics,Square Enix,2291,1184,4.0,23608,"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian",Action,2014,0,0,0,0.6592805755395683,2만원~ 3만원
2651,289800,Dracula: The Resurrection,Microids,Microids,173,199,2.0,5893,"English, French, Italian, German, Spanish - Spain",Adventure,2014,0,0,1,0.4650537634408602,만원이하
2652,289840,Dracula 3: The Path of the Dragon,Microids,Microids,66,139,0.0,9436,"English, French, Italian, German, Spanish - Spain, Russian",Adventure,2014,0,0,1,0.32195121951219513,만원이하
2653,289890,"7,62 High Calibre",Apeiron,1C Entertainment,289,87,4.0,5893,"English, Russian, German, French",RPG,2007,0,0,0,0.7686170212765957,만원이하
2654,289930,TransOcean: The Shipping Company,Deck13 Hamburg,astragon Entertainment,757,308,37.0,29513,"English, French, Italian, German, Spanish - Spain, Hungarian, Czech, Polish, Russian, Traditional Chinese",Casual,2014,0,0,0,0.7107981220657277,2만원~ 3만원
2655,289950,Construction Simulator 2015,weltenbauer. Software Entwicklung GmbH,astragon Entertainment,4576,1092,18.0,5893,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Polish, Russian, Japanese, Portuguese - Brazil, Turkish",Casual,2014,0,0,0,0.8073394495412844,만원이하
2656,290040,Retro Game Crunch,"Rusty Moyher, Shaun Inman, Matt Grimm",Retro Game Crunch,315,82,4.0,11798,English,Action,2014,0,1,0,0.7934508816120907,만원~2만원
2658,290280,Volt,Quantized Bit,Quantized Bit,255,117,4.0,1169,English,Action,2014,0,1,0,0.6854838709677419,만원이하
2659,290300,Rebel Galaxy,Double Damage Games,Double Damage Games,6203,1074,15.0,23608,"English, French, German, Spanish - Spain, Japanese, Russian, Simplified Chinese",Action,2015,0,1,0,0.8524117081214786,2만원~ 3만원
2660,290320,Project Temporality,Defrost Games,Defrost Games,84,16,5.0,17703,"English, Spanish - Spain",Action,2014,0,1,0,0.84,만원~2만원
2661,290380,Micron,Apparition Games,Apparition Games,158,7,2.0,3531,English,Casual,2014,0,1,0,0.9575757575757575,만원이하
2662,290440,QUALIA 3: Multi Agent,"Shindenken, EXTREME","Degica, MASAYA GAMES",22,25,0.0,5893,"English, Japanese",Action,2014,0,1,0,0.46808510638297873,만원이하
